 0.99994 0.00000 0.99996 0.99995 0.99995 0.99994 0.99994 0.99994 0.99993 0.99993 0.00000 0.00000 0.00000 0.00000 0.99994 0.99994 0.99995 0.99996 0.99995 0.99995 0.99995 0.99993 0.99995 0.99995
 0.99993 0.99995 0.99996 0.99995 0.99995 0.99994 0.99994 0.99994 0.99993 0.99995 0.00000 0.00000 0.00000 0.00000 0.99994 0.99994 0.99994 0.99995 0.99995 0.99995 0.99993 0.99991 0.99994 0.99993
 0.99995 0.99994 0.99996 0.99997 0.99994 0.99994 0.99995 0.99994 0.99993 0.00000 0.00000 0.00000 0.00000 0.00000 0.99994 0.99994 0.99995 0.99993 0.00000 0.99994 0.99994 0.99993 0.99994 0.99995
 0.99993 0.99994 0.99996 0.99994 0.99994 0.99994 0.99995 0.99995 0.99995 0.99995 0.00000 0.00000 0.00000 0.00000 0.99993 0.99993 0.99996 0.99995 0.99995 0.99994 0.99995 0.99992 0.99991 0.99994
 0.99996 0.99996 0.99995 0.99996 0.99996 0.99992 0.99995 0.99994 0.99995 0.00000 0.99995 0.99994 0.99994 0.99995 0.99996 0.99995 0.99993 0.99994 0.99995 0.99993 0.99993 0.99993 0.99994 0.99993
 0.99996 0.99996 0.99995 0.99996 0.99995 0.99995 0.99995 0.99996 0.99995 0.99995 0.99994 0.99995 0.99992 0.00000 0.99996 0.00000 0.99995 0.99995 0.99993 0.99995 0.99995 0.99995 0.99996 0.99994
 0.99995 0.99995 0.99991 0.99995 0.99994 0.99995 0.99995 0.99994 0.99993 0.99993 0.99992 0.99994 0.99995 0.99995 0.99994 0.99994 0.99994 0.99995 0.99992 0.99995 0.99995 0.99995 0.99993 0.99992
 0.99993 0.99995 0.99995 0.99994 0.99996 0.99994 0.99995 0.99997 0.99994 0.99994 0.99994 0.99994 0.99996 0.99995 0.99996 0.99993 0.99993 0.99993 0.99996 0.99995 0.99995 0.99994 0.99996 0.99996
 0.99995 0.99996 0.99995 0.99994 0.99995 0.99995 0.99993 0.99996 0.99996 0.99995 0.99994 0.99994 0.99993 0.99995 0.99994 0.99994 0.99995 0.99996 0.00000 0.99996 0.00000 0.99995 0.00000 0.99994
 0.99994 0.99995 0.99995 0.99995 0.99996 0.99995 0.99995 0.00000 0.99995 0.99995 0.99995 0.99995 0.99996 0.99994 0.99995 0.99994 0.99993 0.00000 0.99996 0.99995 0.99995 0.99994 0.99995 0.99995
 0.99994 0.99995 0.99995 0.99995 0.99995 0.99994 0.99995 0.99995 0.99995 0.99994 0.99994 0.99995 0.99994 0.99994 0.99995 0.99991 0.99994 0.00000 0.99995 0.99995 0.99994 0.99995 0.99994 0.99995
 0.99992 0.99995 0.99995 0.99995 0.99995 0.99996 0.99996 0.99996 0.99996 0.99995 0.99996 0.99993 0.99997 0.99994 0.99994 0.99995 0.99996 0.99995 0.99992 0.99994 0.99995 0.99996 0.99994 0.00000
 0.99995 0.99995 0.99994 0.99995 0.99995 0.99995 0.99996 0.99996 0.99994 0.99995 0.00000 0.99995 0.99994 0.99994 0.99995 0.99995 0.99993 0.99995 0.99994 0.99992 0.99995 0.99993 0.99995 0.99986
 0.99994 0.99994 0.99996 0.99995 0.99995 0.99996 0.00000 0.99994 0.99996 0.99996 0.99996 0.99995 0.99996 0.99995 0.99996 0.99995 0.99996 0.99994 0.99993 0.99995 0.99995 0.99996 0.99994 0.00000
 0.00000 0.99995 0.00000 0.99988 0.99992 0.99991 0.99994 0.99992
 0.00000 0.00000 0.99993 0.99993 0.99993 0.00000 0.99993 0.00000
 0.99992 0.99992 0.99993 0.99993 0.99994 0.99992 0.99995 0.99989
 0.99994 0.99993 0.99992 0.99992 0.99993 0.99993 0.99991 0.99990
 0.99994 0.99994 0.99994 0.99992 0.99994 0.99993 0.99993 0.99991
 0.99993 0.99992 0.99994 0.99993 0.99993 0.99992 0.99986 0.99981
 0.99990 0.99994 0.99993 0.99994 0.99994 0.99990 0.99991 0.99994
 0.99995 0.99991 0.99990 0.99991 0.99988 0.99993 0.99994 0.99997

 sigma/sqrt(N)
    0.17    0.16    0.00    0.00    0.11    0.00    0.10    0.08    0.09    0.06    0.06    0.08    0.05    0.06    0.05    0.06    0.06    0.09    0.07    0.10    0.09    0.00    0.10    0.13
    0.14    0.13    0.00    0.00    0.09    0.09    0.09    0.24    0.06    0.05    0.07    0.04    0.05    0.00    0.05    0.05    0.06    0.00    0.09    0.00    0.08    0.08    0.09    0.11
    0.14    0.16    0.00    0.00    0.13    0.00    0.07    0.00    0.07    0.05    0.04    0.05    0.05    0.00    0.00    0.05    0.05    0.00    0.06    0.06    0.06    0.06    0.21    0.11
    0.13    0.12    0.00    0.00    0.10    0.07    0.07    0.07    0.04    0.04    0.04    0.04    0.00    0.00    0.06    0.00    0.05    0.05    0.05    0.05    0.05    0.06    0.06    0.07
    0.12    0.09    0.00    0.00    0.00    0.05    0.05    0.00    0.04    0.03    0.03    0.27    0.02    0.00    0.00    0.05    0.00    0.00    0.05    0.04    0.04    0.04    0.06    0.07
    0.08    0.08    0.00    0.00    0.00    0.00    0.04    0.00    0.04    0.03    0.03    0.03    0.00    0.00    0.00    0.00    0.03    0.00    0.04    0.03    0.04    0.04    0.05    0.06
    0.06    0.08    0.00    0.09    0.00    0.00    0.04    0.00    0.03    0.02    0.02    0.02    0.00    0.02    0.05    0.03    0.02    0.02    0.03    0.02    0.03    0.04    0.05    0.07
    0.09    0.00    0.00    0.07    0.06    0.00    0.00    0.00    0.02    0.02    0.02    0.02    0.00    0.02    0.00    0.02    0.03    0.33    0.03    0.03    0.03    0.04    0.05    0.05
    0.00    0.06    0.04    0.04    0.03    0.03    0.02    0.02    0.02    0.02    0.01    0.01    0.01    0.02    0.01    0.02    0.02    0.02    0.02    0.03    0.03    0.03    0.05    0.05
    0.06    0.05    0.04    0.04    0.03    0.03    0.00    0.02    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.02    0.02    0.00    0.03    0.03    0.03    0.04    0.06
